window,feature,psi,severity
week1_baseline,RevolvingUtilizationOfUnsecuredLines,0.0186,stable
week1_baseline,age,0.0351,stable
week1_baseline,NumberOfTime30-59DaysPastDueNotWorse,0.0008,stable
week1_baseline,DebtRatio,0.0493,stable
week1_baseline,MonthlyIncome,0.0422,stable
week1_baseline,NumberOfOpenCreditLinesAndLoans,0.0693,stable
week1_baseline,NumberOfTimes90DaysLate,0.0,stable
week1_baseline,NumberRealEstateLoansOrLines,0.0044,stable
week1_baseline,NumberOfTime60-89DaysPastDueNotWorse,0.0,stable
week1_baseline,NumberOfDependents,0.0048,stable
week1_baseline,MonthlyIncome_was_missing,0.0,stable
week1_baseline,NumberOfDependents_was_missing,0.0,stable
week2_baseline,RevolvingUtilizationOfUnsecuredLines,0.0302,stable
week2_baseline,age,0.0553,stable
week2_baseline,NumberOfTime30-59DaysPastDueNotWorse,0.0049,stable
week2_baseline,DebtRatio,0.0948,stable
week2_baseline,MonthlyIncome,0.0073,stable
week2_baseline,NumberOfOpenCreditLinesAndLoans,0.0915,stable
week2_baseline,NumberOfTimes90DaysLate,0.0,stable
week2_baseline,NumberRealEstateLoansOrLines,0.043,stable
week2_baseline,NumberOfTime60-89DaysPastDueNotWorse,0.0,stable
week2_baseline,NumberOfDependents,0.0058,stable
week2_baseline,MonthlyIncome_was_missing,0.0,stable
week2_baseline,NumberOfDependents_was_missing,0.0,stable
week3_drift_younger_segment,RevolvingUtilizationOfUnsecuredLines,0.0249,stable
week3_drift_younger_segment,age,0.874,significant_drift
week3_drift_younger_segment,NumberOfTime30-59DaysPastDueNotWorse,0.0029,stable
week3_drift_younger_segment,DebtRatio,0.0731,stable
week3_drift_younger_segment,MonthlyIncome,0.076,stable
week3_drift_younger_segment,NumberOfOpenCreditLinesAndLoans,0.051,stable
week3_drift_younger_segment,NumberOfTimes90DaysLate,0.0,stable
week3_drift_younger_segment,NumberRealEstateLoansOrLines,0.0154,stable
week3_drift_younger_segment,NumberOfTime60-89DaysPastDueNotWorse,0.0,stable
week3_drift_younger_segment,NumberOfDependents,0.0206,stable
week3_drift_younger_segment,MonthlyIncome_was_missing,0.0,stable
week3_drift_younger_segment,NumberOfDependents_was_missing,0.0,stable
week4_drift_income_drop,RevolvingUtilizationOfUnsecuredLines,0.0708,stable
week4_drift_income_drop,age,0.0473,stable
week4_drift_income_drop,NumberOfTime30-59DaysPastDueNotWorse,0.0215,stable
week4_drift_income_drop,DebtRatio,0.0874,stable
week4_drift_income_drop,MonthlyIncome,2.1544,significant_drift
week4_drift_income_drop,NumberOfOpenCreditLinesAndLoans,0.0861,stable
week4_drift_income_drop,NumberOfTimes90DaysLate,0.0,stable
week4_drift_income_drop,NumberRealEstateLoansOrLines,0.0276,stable
week4_drift_income_drop,NumberOfTime60-89DaysPastDueNotWorse,0.0,stable
week4_drift_income_drop,NumberOfDependents,0.0011,stable
week4_drift_income_drop,MonthlyIncome_was_missing,0.0,stable
week4_drift_income_drop,NumberOfDependents_was_missing,0.0,stable
week5_drift_utilization_spike,RevolvingUtilizationOfUnsecuredLines,0.51,significant_drift
week5_drift_utilization_spike,age,0.0256,stable
week5_drift_utilization_spike,NumberOfTime30-59DaysPastDueNotWorse,0.0168,stable
week5_drift_utilization_spike,DebtRatio,0.0596,stable
week5_drift_utilization_spike,MonthlyIncome,0.0768,stable
week5_drift_utilization_spike,NumberOfOpenCreditLinesAndLoans,0.0702,stable
week5_drift_utilization_spike,NumberOfTimes90DaysLate,0.0,stable
week5_drift_utilization_spike,NumberRealEstateLoansOrLines,0.0211,stable
week5_drift_utilization_spike,NumberOfTime60-89DaysPastDueNotWorse,0.0,stable
week5_drift_utilization_spike,NumberOfDependents,0.0088,stable
week5_drift_utilization_spike,MonthlyIncome_was_missing,0.0,stable
week5_drift_utilization_spike,NumberOfDependents_was_missing,0.0,stable
